code;city;school_name;type;nature;specialization;num_vacant;num_potential;address;latitude;longitude;school_type
1271;Toulouse;Ecole Elementaire Publique Clement Falcucci(0312347h);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;5 impasse Bachaga Boualam 31100 TOULOUSE, 31100 Toulouse;43.579352777790845;1.4089197033648213;Ecole
1272;Toulouse;Ecole Elementaire Publique Paul Bert(0312402t);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;4 chemin de Liffard 31100 TOULOUSE, 31100 Toulouse;43.5596516159286;1.3782699446492854;Ecole
1273;Toulouse;Ecole Elementaire Publique Sylvain Dauriac(0312411c);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;41 rue Paul Lambert BP 28 31100 TOULOUSE, 31100 Toulouse;43.57795840194438;1.41400020832733;Ecole
1274;Toulouse;Ecole Elementaire Publique Marie Et PierreCurie (0312427v);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;3 rue Baptiste Marcet 31200 TOULOUSE, 31200 Toulouse;43.62110411611458;1.443229540153597;Ecole
1275;Toulouse;Ecole Elementaire Publique Papus (0312542v);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;46 allée de Guyenne 31100 TOULOUSE, 31100 Toulouse;43.57544742821883;1.4128800453432464;Ecole
188351;Toulouse;Ecole Elementaire Publique Fleurance(0312680v);E;Compensationdécharge dedirecteur;Sans spécialité;1;0;4 rue Théroigne de Méricourt 31000 TOULOUSE, 31000 Toulouse;43.59890548285958;1.3699285672794668;Ecole
141934;Toulouse;Ecole Primaire Publique Olympe De Gouges(0312722r);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;12 rue Virginia Woolf 31200 TOULOUSE, 31200 Toulouse;43.654516093000474;1.4396497623937492;Ecole
1276;Toulouse;Ecole Primaire Publique Ponts Jumeaux(0312852g);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;1 rue Henri Docquiert 31200 TOULOUSE, 31200 Toulouse;43.6147882497205;1.421890375737284;Ecole
1277;Toulouse;Ecole Primaire Publique Guilhermy (0312870b);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;7 rue de las Brugues 31100 TOULOUSE, 31100 Toulouse;43.56728428376914;1.372159383262392;Ecole
141939;Toulouse;Ecole Primaire Niboul (0312871c);E;Compensationdécharge dedirecteur;Sans spécialité;0;1;9 rue Arria Ly 31200 TOULOUSE, 31200 Toulouse;43.6400257262731;1.4500320483205769;Ecole
