RNE,SIGLE,NOM,CP,COMMUNE,Plan violence,REP+ (2014),REP/REP+ (2015)
0312151V,EEPU,ALFRED DE MUSSET,31200,TOULOUSE,X,,REP
0310221X,EMPU,ALFRED DE MUSSET,31200,TOULOUSE,X,,REP
0312079S,EEPU,ANDRE DASTE,31400,TOULOUSE,X,,REP
0310212M,EMPU,ANDRE DASTE,31400,TOULOUSE,X,,REP
0311235Z,CLG,BELLEFONTAINE,31037,TOULOUSE,X,,REP+
0311248N,CLG,BELLEFONTAINE SEGPA,31037,TOULOUSE,X,,REP+
0312227C,EEPU,BUFFON,31100,TOULOUSE,X,X,REP+
0310205E,EMPU,BUFFON,31100,TOULOUSE,X,X,REP+
0311550S,EMPU,CAMILLE CLAUDEL (ex BELLEFONTAINE),31000,TOULOUSE,,X,REP+
0312347H,EEPU,CLEMENT FALCUCCI,31100,TOULOUSE,X,,REP+
03101935,EMPU,CLEMENT FALCUCCI,31100,TOULOUSE,X,,REP+
0311616N,EMPU,DANIEL FAUCHER,31100,TOULOUSE,X,X,REP+
0311604A,EEPU,DANIEL FAUCHER (ex MIXTE 1),31100,TOULOUSE,X,X,REP+
0311693X,EEPU,DIDIER DAURAT,31100,TOULOUSE,X,X,REP+
0311662N,EMPU,DIDIER DAURAT,31100,TOULOUSE,X,X,REP+
0312107X,EEPU,ELSA TRIOLET,31000,TOULOUSE,,X,REP+
0312112C,EMPU,ELSA TRIOLET,31000,TOULOUSE,,X,REP+
03121782,EEPU,ERNEST RENAN,31200,TOULOUSE,X,,REP+
0310227D,EMPU,ERNEST RENAN,31200,TOULOUSE,X,X,REP+
0310208H,EMPU,ETIENNE BILLIERES,31100,TOULOUSE,,,REP+
0312272B,EEPU,ETIENNE BILLIERES,31100,TOULOUSE,,,REP+
0312124R,EMPU,FERDINAND DE LESSEPS,31100,TOULOUSE,,,REP
0312143L,EEPU,FERDINAND DE LESSEPS,31100,TOULOUSE,,,REP
0311645V,EEPU,FRANCOISE HERITIER (ex DANIEL FAUCHER MIXTE 2),31100,TOULOUSE,X,X,,REP+
0312334U,EEPU,GEORGES BASTIDE,31100,TOULOUSE,X,X,,REP+
0311301W,EMPU,GEORGES BASTIDE MAT A,31100,TOULOUSE,X,,,REP+
0310987E,EEPU,GEORGES HYON,31100,TOULOUSE,X,,,REP+
0310194T,EMPU,GEORGES HYON,31100,TOULOUSE,X,,,REP+
0310086A,CLG,GEORGES SAND,31100,TOULOUSE,X,,,REP+
0310185H,EMPU,JEAN DIEUZAIDE,31200,TOULOUSE,,,,REP+
0311622V,EMPU,JEAN GALIA,31100,TOULOUSE,X,X,,REP+
0310215R,EMPU,JEAN MONNET,31200,TOULOUSE,,X,,REP+
0311396Z,EMPU,JEAN MOULIN,31400,TOULOUSE,,X,,REP
0310187K,EMPU,JULES FERRY,31200,TOULOUSE,,,,REP
0312110A,EEPU,JULES FERRY,31200,TOULOUSE,,,,REP
0310921H,EEPU,LALANDE,31200,TOULOUSE,,,,REP+
0310960A,EEPU,LEO LAGRANGE,31400,TOULOUSE,,,,REP
0310200Z,EMPU,LEO LAGRANGE,31400,TOULOUSE,,,,REP
0311961N,EEPU,LEONCE BOURLIAGUET,31100,TOULOUSE,,,,REP
0311960M,EMPU,LEONCE BOURLIAGUET,31100,TOULOUSE,,,,REP
0311124D,EMPU,LES PINHOUS,31100,TOULOUSE,X,X,,REP+
0312028L,EEPU,LES VERGERS,31100,TOULOUSE,,,,REP
0312032R,EMPU,LES VERGERS,31100,TOULOUSE,,,,REP
0312155Z,EEPU,LITTRE,31300,TOULOUSE,X,,,REP
0311551T,EMPU,LITTRE,31300,TOULOUSE,X,,,REP
0311304Z,EMPU,LOUISE MICHEL,31100,TOULOUSE,X,,,REP+
0311016L,EEPU,MARCEL PAGNOL,31300,TOULOUSE,,,,REP+
0310209J,EMPU,MARCEL PAGNOL (ex TOEC),31300,TOULOUSE,,,,REP+
0310218U,EMPU,MARIE ET PIERRE CURIE,31200,TOULOUSE,,,,REP
0312427V,EEPU,MARIE ET PIERRE CURIE,31200,TOULOUSE,,,,REP
0312324H,EEPU,MAURICE JACQUIER,31100,TOULOUSE,X,,,REP
0311395Y,EMPU,MAURICE JACQUIER,31100,TOULOUSE,X,,REP
0310219V,EMPU,NEGRENEYS,31200,TOULOUSE,,,REP
0312542V,EEPU,PAPUS,31100,TOULOUSE,X,,REP+
0310240T,EMPU,PAPUS,31100,TOULOUSE,X,,REP+
0311305A,EEPU,PAUL DOTTIN,31100,TOULOUSE,X,,REP+
0310988F,EEPU,RONSARD,31100,TOULOUSE,X,,REP+
0311742A,EMPU,RONSARD,31100,TOULOUSE,X,,REP+
0311316M,CLG,ROSA PARKS (ex LALANDE) SEGPA,31021,TOULOUSE,,,REP+
0311661M,EMPU,SIMONE VEIL (ex AURIACOMBE),31100,TOULOUSE,X,X,REP+
0312323G,EEPU,SIMONE VEIL (exJEAN GALIA),31100,TOULOUSE,X,X,REP+
0311630D,CLG,STENDHAL,31100,TOULOUSE,X,,REP+
0312706Y,CLG,STENDHAL SEGPA,31100,TOULOUSE,,,REP+
0312411C,EEPU,SYLVAIN DAURIAC,31100,TOULOUSE,X,,REP+
0311123C,EMPU,SYLVAIN DAURIAC,31100,TOULOUSE,X,,REP+
0311695Z,EMPU,TABAR,31100,TOULOUSE,X,,REP+
0312196U,EEPU,VICTOR HUGO,31100,TOULOUSE,X,,REP+
0311613K,EMPU,VICTOR HUGO,31100,TOULOUSE,X,,REP+

