Rang,Numéro du poste,Commune,Etablissement,Type de poste,Nature de support,Spécialité / Nb classes,Nb de postes vacants,Nb de postes susceptibles d'être vacants
219,1049,Toulouse,Ecole Maternelle Publique Polygone (0311783v) E,E,Enseignant classepréélémentaire,Sans spécialité,1,4
220,1050,Toulouse,Ecole Maternelle Publique Francoise Dolto(0311910h),E,Enseignant classepréélémentaire,Sans spécialité,0,1
221,1051,Toulouse,Ecole Maternelle Publique Leonce Bourliaguet(0311960m),E,Enseignant classepréélémentaire,Sans spécialité,0,4
222,168852,Toulouse,Ecole Maternelle D Application MauriceBecanne (0312004k),E,Enseignant classepréélémentaire,Sans spécialité,0,1
223,1054,Toulouse,Ecole Maternelle Publique Les Vergers(0312032r),E,Enseignant classepréélémentaire,Sans spécialité,0,3
224,1853,Toulouse,Ecole Primaire Publique Sept-Deniers(0312080t),E,Enseignant classepréélémentaire,Sans spécialité,0,4
225,1854,Toulouse,Ecole Primaire Publique Amidonniers(0312088b),E,Enseignant classepréélémentaire,Sans spécialité,0,4
226,1055,Toulouse,Ecole Maternelle Publique Viollet-Le-Duc(0312100p),E,Enseignant classepréélémentaire,Sans spécialité,0,2
227,1056,Toulouse,Ecole Maternelle Publique Elsa Triolet(0312112c),E,Enseignant classepréélémentaire,Sans spécialité,0,4
228,1057,Toulouse,Ecole Maternelle Publique Ferdinand DeLesseps (0312124r),E,Enseignant classepréélémentaire,Sans spécialité,1,3
229,188322,Toulouse,Ecole Primaire Publique Littre (0312155z),E,Enseignant classepréélémentaire,Sans spécialité,1,4
230,1058,Toulouse,Ecole Maternelle Publique Michoun (0312229e),E,Enseignant classepréélémentaire,Sans spécialité,0,4
231,1059,Toulouse,Ecole Maternelle Publique Le Bearnais(0312232h),E,Enseignant classepréélémentaire,Sans spécialité,0,1
232,1060,Toulouse,Ecole Maternelle Publique Montaudran(0312295b),E,Enseignant classepréélémentaire,Sans spécialité,0,4
233,1061,Toulouse,Ecole Maternelle Publique Gaston Dupouy(0312318b),E,Enseignant classepréélémentaire,Sans spécialité,0,2
234,1062,Toulouse,Ecole Maternelle Publique Amouroux(0312573d),E,Enseignant classepréélémentaire,Sans spécialité,0,3
235,1063,Toulouse,Ecole Maternelle Publique Le Pastel (0312595c) E,E,Enseignant classepréélémentaire,Sans spécialité,0,2
236,1064,Toulouse,Ecole Maternelle Publique Reille (0312624j),E,Enseignant classepréélémentaire,Sans spécialité,0,2
237,1065,Toulouse,Ecole Maternelle Publique La Maourine(0312674n),E,Enseignant classepréélémentaire,Sans spécialité,0,3
238,1066,Toulouse,Ecole Maternelle Publique Les Tibaous(0312681w),E,Enseignant classepréélémentaire,Sans spécialité,0,5
239,1067,Toulouse,Ecole Maternelle Publique Fleurance(0312682x),E,Enseignant classepréélémentaire,Sans spécialité,0,6
240,1068,Toulouse,Ecole Maternelle Publique Borderouge(0312708a),E,Enseignant classepréélémentaire,Sans spécialité,1,5
241,1855,Toulouse,Ecole Primaire Publique Olympe De Gouges(0312722r),E,Enseignant classepréélémentaire,Sans spécialité,0,5
242,1856,Toulouse,Ecole Primaire Publique Jean-Pierre Vernant(0312769s),E,Enseignant classepréélémentaire,Sans spécialité,1,2
243,1069,Toulouse,Ecole Maternelle Publique Jean Zay (0312792s),E,Enseignant classepréélémentaire,Sans spécialité,1,5
244,1857,Toulouse,Ecole Primaire Publique Ponts Jumeaux(0312852g),E,Enseignant classepréélémentaire,Sans spécialité,0,4
245,1858,Toulouse,Ecole Primaire Publique Guilhermy (0312870b),E,Enseignant classepréélémentaire,Sans spécialité,0,6
246,141940,Toulouse,Ecole Primaire Niboul (0312871c),E,Enseignant classepréélémentaire,Sans spécialité,0,5
247,1859,Toulouse,Ecole Primaire Genevieve De Gaulle Anthonioz(0312921g),E,Enseignant classepréélémentaire,Sans spécialité,0,7
248,1071,Toulouse,Ecole Maternelle Publique Lucie Aubrac(0312941d),E,Enseignant classepréélémentaire,Sans spécialité,0,5
249,1860,Toulouse,Ecole Primaire Publique Germaine Tillion(0312943f),E,Enseignant classepréélémentaire,Sans spécialité,0,4
250,1072,Toulouse,Ecole Maternelle Publique Jules-Geraud Saliege(0312963c),E,Enseignant classepréélémentaire,Sans spécialité,0,9
251,1861,Toulouse,Ecole Primaire Georges Mailhos (0312975r),E,Enseignant classepréélémentaire,Sans spécialité,1,5
252,1862,Toulouse,Ecole Primaire Josephine Baker (0312977t),E,Enseignant classepréélémentaire,Sans spécialité,0,8
253,1863,Toulouse,Ecole Primaire Canto Laouzetto (0313018m),E,Enseignant classepréélémentaire,Sans spécialité,1,5
254,1864,Toulouse,Ecole Primaire Fenelon (0313046t),E,Enseignant classepréélémentaire,Sans spécialité,1,4
255,168862,Toulouse,Ecole Primaire Publique Emilie Du Chatelet(0313131k),E,Enseignant classepréélémentaire,Sans spécialité,1,3
256,188053,Toulouse,Ecole Primaire Publique Marie De Gournay(0313234x),E,Enseignant classepréélémentaire,Sans spécialité,1,0
257,188055,Toulouse,Ecole Maternelle Publique Marie Marvingt(0313235y),E,Enseignant classepréélémentaire,Sans spécialité,1,5
