Rang,Numéro du poste,Commune,Etablissement,Type de poste,Nature de support,Spécialité / Nb classes,Nb de postes vacants,Nb de postes susceptibles d'être vacants
49,1606,Toulouse,Ecole Elementaire Publique Claude Nougaro(0310917d),E,Enseignant classeélémentaire,Sans spécialité,0,7
50,1607,Toulouse,Ecole Elementaire Publique Lalande (0310921h) E,E,Enseignant classeélémentaire,Sans spécialité,3,14
51,1608,Toulouse,Ecole Elementaire Publique Jean Chaubet(0310928r),E,Enseignant classeélémentaire,Sans spécialité,0,6
52,1609,Toulouse,Ecole Elementaire Publique Bonhoure(0310929s),E,Enseignant classeélémentaire,Sans spécialité,0,3
53,1610,Toulouse,Ecole Elementaire Publique Marengo-Periole(0310934x),E,Enseignant classeélémentaire,Sans spécialité,2,4
54,1611,Toulouse,Ecole Primaire Sermet (0310950p),E,Enseignant classeélémentaire,Sans spécialité,0,3
55,1612,Toulouse,Ecole Elementaire Publique Nord (0310952s),E,Enseignant classeélémentaire,Sans spécialité,0,1
56,1613,Toulouse,Ecole Elementaire Publique Leo Lagrange(0310960a),E,Enseignant classeélémentaire,Sans spécialité,2,6
57,1614,Toulouse,Ecole Elementaire Publique Cuvier (0310970l),E,Enseignant classeélémentaire,Sans spécialité,2,10
58,1615,Toulouse,Ecole Primaire Publique Grand Selve(0310975s),E,Enseignant classeélémentaire,Sans spécialité,0,7
59,1616,Toulouse,Ecole Elementaire Publique Georges Hyon(0310987e),E,Enseignant classeélémentaire,Sans spécialité,1,3
60,1617,Toulouse,Ecole Elementaire Publique Ronsard (0310988f) E,E,Enseignant classeélémentaire,Sans spécialité,0,7
61,1618,Toulouse,Ecole Elementaire Publique Bonnefoy(0310992k),E,Enseignant classeélémentaire,Sans spécialité,0,6
62,1619,Toulouse,Ecole Elementaire Publique Bayard-Matabiau(0310993l),E,Enseignant classeélémentaire,Sans spécialité,1,5
63,1620,Toulouse,Ecole Elementaire Publique Sauzelong(0311006a),E,Enseignant classeélémentaire,Sans spécialité,0,4
64,1621,Toulouse,Ecole Primaire Publique Alexandre Fourtanier(0311008c),E,Enseignant classeélémentaire,Sans spécialité,0,3
65,1622,Toulouse,Ecole Primaire Armand Leygue (0311010e),E,Enseignant classeélémentaire,Sans spécialité,0,4
66,1623,Toulouse,Ecole Elementaire Publique Fontaine Bayonne(0311015k),E,Enseignant classeélémentaire,Sans spécialité,0,3
67,1624,Toulouse,Ecole Elementaire Publique Marcel Pagnol(0311016l),E,Enseignant classeélémentaire,Sans spécialité,0,5
68,1625,Toulouse,Ecole Elementaire Publique Lespinasse(0311021s),E,Enseignant classeélémentaire,Sans spécialité,0,6
69,1626,Toulouse,Ecole Primaire Publique Les Oustalous(0311024v),E,Enseignant classeélémentaire,Sans spécialité,0,4
70,2556,Toulouse,Ecole Elementaire Application Maurice Becanne(0311025w),E,Enseignant classeélémentaire,Sans spécialité,0,2
71,1627,Toulouse,Ecole Elementaire Publique Lapujade(0311089r),E,Enseignant classeélémentaire,Sans spécialité,0,12
72,1628,Toulouse,Ecole Elementaire Publique Paul Dottin(0311305a),E,Enseignant classeélémentaire,Sans spécialité,0,13
73,1629,Toulouse,Ecole Elementaire Publique Monge (0311569m) E,E,Enseignant classeélémentaire,Sans spécialité,0,4
74,1630,Toulouse,Ecole Elementaire Publique Les Gais Pinsons(0311601x),E,Enseignant classeélémentaire,Sans spécialité,0,6
75,1631,Toulouse,Ecole Elementaire Publique Daniel Faucher(0311604a),E,Enseignant classeélémentaire,Sans spécialité,0,5
76,1632,Toulouse,Ecole Elementaire Publique Le Pastel(0311641r),E,Enseignant classeélémentaire,Sans spécialité,0,3
77,1633,Toulouse,Ecole Elementaire Publique Francoise Heritier(0311645v),E,Enseignant classeélémentaire,Sans spécialité,0,5
78,1634,Toulouse,Ecole Elementaire Publique Didier Daurat(0311693x),E,Enseignant classeélémentaire,Sans spécialité,2,4
79,1635,Toulouse,Ecole Elementaire Publique La Terrasse(0311745d),E,Enseignant classeélémentaire,Sans spécialité,0,5
80,1636,Toulouse,Ecole Primaire Publique Ada Lovelace(0311782u),E,Enseignant classeélémentaire,Sans spécialité,1,4
81,1637,Toulouse,Ecole Elementaire Publique Fabre (0311880a),E,Enseignant classeélémentaire,Sans spécialité,0,7
82,1638,Toulouse,Ecole Elementaire Publique Montaudran(0311923x),E,Enseignant classeélémentaire,Sans spécialité,0,6
83,1639,Toulouse,Ecole Elementaire Publique Leonce Bourliaguet(0311961n),E,Enseignant classeélémentaire,Sans spécialité,0,6
84,1640,Toulouse,Ecole Elementaire Publique Les Vergers(0312028l),E,Enseignant classeélémentaire,Sans spécialité,0,5
85,1641,Toulouse,Ecole Elementaire Publique Michelet(0312077p),E,Enseignant classeélémentaire,Sans spécialité,0,5
86,1642,Toulouse,Ecole Elementaire Publique Moliere (0312078r),E,Enseignant classeélémentaire,Sans spécialité,1,3
87,1644,Toulouse,Ecole Primaire Publique Sept-Deniers(0312080t),E,Enseignant classeélémentaire,Sans spécialité,0,11
88,1645,Toulouse,Ecole Primaire Publique Amidonniers(0312088b),E,Enseignant classeélémentaire,Sans spécialité,1,6
89,1646,Toulouse,Ecole Elementaire Publique Elsa Triolet(0312107x),E,Enseignant classeélémentaire,Sans spécialité,0,6
90,1647,Toulouse,Ecole Elementaire Publique Viollet-Le-Duc(0312108y),E,Enseignant classeélémentaire,Sans spécialité,0,4
91,1648,Toulouse,Ecole Elementaire Publique Jules Ferry(0312110a),E,Enseignant classeélémentaire,Sans spécialité,0,14
92,1649,Toulouse,Ecole Elementaire Publique Chateau D'ancely(0312111b),E,Enseignant classeélémentaire,Sans spécialité,0,9
93,1650,Toulouse,Ecole Elementaire Publique Ferdinand DeLesseps (0312143l),E,Enseignant classeélémentaire,Sans spécialité,0,7
94,1651,Toulouse,Ecole Elementaire Publique Alfred De Musset(0312151v),E,Enseignant classeélémentaire,Sans spécialité,1,9
95,1652,Toulouse,Ecole Elementaire Publique Anatole France(0312152w),E,Enseignant classeélémentaire,Sans spécialité,0,7
96,1653,Toulouse,Ecole Elementaire Publique Henri Guillaumet(0312153x),E,Enseignant classeélémentaire,Sans spécialité,1,6
97,1654,Toulouse,Ecole Elementaire Publique Jean Mace(0312154y),E,Enseignant classeélémentaire,Sans spécialité,0,8
98,1655,Toulouse,Ecole Primaire Publique Littre (0312155z),E,Enseignant classeélémentaire,Sans spécialité,0,7
99,1656,Toulouse,Ecole Elementaire Publique La Juncasse(0312156a),E,Enseignant classeélémentaire,Sans spécialité,0,8
100,1657,Toulouse,Ecole Elementaire Publique Jolimont(0312173u),E,Enseignant classeélémentaire,Sans spécialité,0,7
101,1658,Toulouse,Ecole Elementaire Publique Soupetard(0312174v),E,Enseignant classeélémentaire,Sans spécialité,0,17
102,1659,Toulouse,Ecole Elementaire Publique Courrege(0312176x),E,Enseignant classeélémentaire,Sans spécialité,0,8
103,1660,Toulouse,Ecole Elementaire Publique Rangueil(0312177y),E,Enseignant classeélémentaire,Sans spécialité,0,5
104,1661,Toulouse,Ecole Elementaire Publique Ernest Renan(0312178z),E,Enseignant classeélémentaire,Sans spécialité,0,12
105,1662,Toulouse,Ecole Elementaire Publique Victor Hugo(0312196u),E,Enseignant classeélémentaire,Sans spécialité,0,14
106,1663,Toulouse,Ecole Elementaire Publique Patte D'oie(0312197v),E,Enseignant classeélémentaire,Sans spécialité,0,10
107,1664,Toulouse,Ecole Elementaire Publique Calvinhac(0312226b),E,Enseignant classeélémentaire,Sans spécialité,0,4
108,1665,Toulouse,Ecole Elementaire Publique Buffon (0312227c),E,Enseignant classeélémentaire,Sans spécialité,0,15
109,1666,Toulouse,Ecole Elementaire Publique Etienne Billieres(0312272b),E,Enseignant classeélémentaire,Sans spécialité,1,10
110,1667,Toulouse,Ecole Elementaire Publique Jules Julien(0312273c),E,Enseignant classeélémentaire,Sans spécialité,0,12
111,1668,Toulouse,Ecole Elementaire Publique Michoun (0312276f) E,E,Enseignant classeélémentaire,Sans spécialité,1,11
112,1669,Toulouse,Ecole Elementaire Publique Lakanal (0312292y) E,E,Enseignant classeélémentaire,Sans spécialité,0,7
113,1670,Toulouse,Ecole Elementaire Publique Lardenne(0312293z),E,Enseignant classeélémentaire,Sans spécialité,1,7
114,1671,Toulouse,Ecole Elementaire Publique Jean Jaures(0312294a),E,Enseignant classeélémentaire,Sans spécialité,0,10
115,1672,Toulouse,Ecole Elementaire Publique Gaston Dupouy(0312320d),E,Enseignant classeélémentaire,Sans spécialité,0,4
116,1673,Toulouse,Ecole Elementaire Publique Simone Veil(0312323g),E,Enseignant classeélémentaire,Sans spécialité,0,10
117,1674,Toulouse,Ecole Elementaire Publique Maurice Jacquier(0312324h),E,Enseignant classeélémentaire,Sans spécialité,0,7
118,1675,Toulouse,Ecole Elementaire Publique Georges Bastide(0312334u),E,Enseignant classeélémentaire,Sans spécialité,0,11
119,1676,Toulouse,Ecole Elementaire Publique Clement Falcucci(0312347h),E,Enseignant classeélémentaire,Sans spécialité,0,9
120,1677,Toulouse,Ecole Elementaire Publique Paul Bert(0312402t),E,Enseignant classeélémentaire,Sans spécialité,0,11
121,1678,Toulouse,Ecole Elementaire Publique Sylvain Dauriac(0312411c),E,Enseignant classeélémentaire,Sans spécialité,2,10
122,1679,Toulouse,Ecole Elementaire Publique Marie Et PierreCurie (0312427v),E,Enseignant classeélémentaire,Sans spécialité,0,17
123,1680,Toulouse,Ecole Elementaire Publique Papus (0312542v),E,Enseignant classeélémentaire,Sans spécialité,0,16
124,1681,Toulouse,Ecole Elementaire Publique Chateau De L'hers(0312598f),E,Enseignant classeélémentaire,Sans spécialité,0,4
125,1682,Toulouse,Ecole Elementaire Publique La Maourine(0312673m),E,Enseignant classeélémentaire,Sans spécialité,0,6
126,1683,Toulouse,Ecole Elementaire Publique Les Tibaous(0312679u),E,Enseignant classeélémentaire,Sans spécialité,0,9
127,1684,Toulouse,Ecole Elementaire Publique Fleurance(0312680v),E,Enseignant classeélémentaire,Sans spécialité,0,10
128,1685,Toulouse,Ecole Primaire Publique Olympe De Gouges(0312722r),E,Enseignant classeélémentaire,Sans spécialité,0,7
129,1686,Toulouse,Ecole Elementaire Publique Lucie Aubrac(0312750w),E,Enseignant classeélémentaire,Sans spécialité,2,5
130,1687,Toulouse,Ecole Primaire Publique Jean-Pierre Vernant(0312769s),E,Enseignant classeélémentaire,Sans spécialité,0,3
131,1688,Toulouse,Ecole Primaire Publique Ponts Jumeaux(0312852g),E,Enseignant classeélémentaire,Sans spécialité,0,8
132,1689,Toulouse,Ecole Primaire Publique Guilhermy (0312870b),E,Enseignant classeélémentaire,Sans spécialité,0,8
133,1690,Toulouse,Ecole Primaire Niboul (0312871c),E,Enseignant classeélémentaire,Sans spécialité,0,7
134,1691,Toulouse,Ecole Elementaire Publique Jules GeraudSaliege (0312892a),E,Enseignant classeélémentaire,Sans spécialité,1,11
135,1692,Toulouse,Ecole Primaire Genevieve De Gaulle Anthonioz(0312921g),E,Enseignant classeélémentaire,Sans spécialité,0,8
136,1693,Toulouse,Ecole Elementaire Publique Jean Zay(0312922h),E,Enseignant classeélémentaire,Sans spécialité,0,11
137,1694,Toulouse,Ecole Elementaire Publique Borderouge(0312942e),E,Enseignant classeélémentaire,Sans spécialité,1,7
138,1695,Toulouse,Ecole Primaire Publique Germaine Tillion(0312943f),E,Enseignant classeélémentaire,Sans spécialité,0,4
139,1696,Toulouse,Ecole Primaire Georges Mailhos (0312975r),E,Enseignant classeélémentaire,Sans spécialité,1,7
140,1697,Toulouse,Ecole Primaire Josephine Baker (0312977t),E,Enseignant classeélémentaire,Sans spécialité,2,7
141,1698,Toulouse,Ecole Primaire Canto Laouzetto (0313018m),E,Enseignant classeélémentaire,Sans spécialité,3,5
142,168859,Toulouse,Ecole Primaire Fenelon (0313046t),E,Enseignant classeélémentaire,Sans spécialité,1,3
143,168860,Toulouse,Ecole Primaire Publique Emilie Du Chatelet(0313131k),E,Enseignant classeélémentaire,Sans spécialité,1,1
144,188052,Toulouse,Ecole Primaire Publique Marie De Gournay(0313234x),E,Enseignant classeélémentaire,Sans spécialité,1,0
145,188059,Toulouse,Ecole Elementaire Publique Marie Marvingt(0313236z),E,Enseignant classeélémentaire,Sans spécialité,0,9
146,1849,Toulouse,Ecole Primaire Publique Calas - Dupont(0310161g),E,Enseignant classepréélémentaire,Sans spécialité,0,5
147,175110,Toulouse,Ecole Primaire Application Benezet (0310162h) E,E,Enseignant classepréélémentaire,Sans spécialité,0,1
148,980,Toulouse,Ecole Maternelle Publique Jean Dieuzaide(0310185h),E,Enseignant classepréélémentaire,Sans spécialité,0,3
149,982,Toulouse,Ecole Maternelle Publique Jules Ferry(0310187k),E,Enseignant classepréélémentaire,Sans spécialité,0,7
150,983,Toulouse,Ecole Maternelle Publique Jean Jaures(0310188l),E,Enseignant classepréélémentaire,Sans spécialité,0,5
151,984,Toulouse,Ecole Maternelle Publique Jean Mace(0310189m),E,Enseignant classepréélémentaire,Sans spécialité,0,3
152,985,Toulouse,Ecole Maternelle Publique Jules Julien(0310190n),E,Enseignant classepréélémentaire,Sans spécialité,0,3
153,986,Toulouse,Ecole Maternelle Publique Clement Falcucci(0310193s),E,Enseignant classepréélémentaire,Sans spécialité,0,5
154,987,Toulouse,Ecole Maternelle Publique Georges Hyon(0310194t),E,Enseignant classepréélémentaire,Sans spécialité,0,4
155,988,Toulouse,Ecole Maternelle Publique Chateau De L'hers(0310195u),E,Enseignant classepréélémentaire,Sans spécialité,0,2
156,989,Toulouse,Ecole Maternelle Publique Courrege (0310196v) E,E,Enseignant classepréélémentaire,Sans spécialité,1,4
157,990,Toulouse,Ecole Maternelle Publique Fabre (0310197w),E,Enseignant classepréélémentaire,Sans spécialité,1,2
158,991,Toulouse,Ecole Maternelle Publique Henri Guillaumet(0310198x),E,Enseignant classepréélémentaire,Sans spécialité,0,3
159,992,Toulouse,Ecole Maternelle Publique Jean Chaubet(0310199y),E,Enseignant classepréélémentaire,Sans spécialité,0,3
160,993,Toulouse,Ecole Maternelle Publique Leo Lagrange(0310200z),E,Enseignant classepréélémentaire,Sans spécialité,0,5
161,995,Toulouse,Ecole Maternelle Publique Rangueil (0310202b),E,Enseignant classepréélémentaire,Sans spécialité,0,2
162,1208,Toulouse,Ecole Maternelle D Application Ricardie 1(0310203c),E,Enseignant classepréélémentaire,Sans spécialité,0,1
163,996,Toulouse,Ecole Maternelle Publique Sauzelong(0310204d),E,Enseignant classepréélémentaire,Sans spécialité,0,2
164,997,Toulouse,Ecole Maternelle Publique Buffon (0310205e),E,Enseignant classepréélémentaire,Sans spécialité,1,9
165,998,Toulouse,Ecole Maternelle Publique Armand Duportal(0310206f),E,Enseignant classepréélémentaire,Sans spécialité,0,2
166,999,Toulouse,Ecole Maternelle Publique Fontaine Casselardit(0310207g),E,Enseignant classepréélémentaire,Sans spécialité,0,5
167,1000,Toulouse,Ecole Maternelle Publique Etienne Billieres(0310208h),E,Enseignant classepréélémentaire,Sans spécialité,0,9
168,1001,Toulouse,Ecole Maternelle Publique Marcel Pagnol(0310209j),E,Enseignant classepréélémentaire,Sans spécialité,0,4
169,1002,Toulouse,Ecole Maternelle Publique Lamartine(0310210k),E,Enseignant classepréélémentaire,Sans spécialité,0,2
170,1003,Toulouse,Ecole Maternelle Publique Anatole France(0310211l),E,Enseignant classepréélémentaire,Sans spécialité,0,4
171,1005,Toulouse,Ecole Maternelle Publique Jean Monnet(0310215r),E,Enseignant classepréélémentaire,Sans spécialité,1,10
172,1006,Toulouse,Ecole Maternelle Publique Matabiau (0310216s) E,E,Enseignant classepréélémentaire,Sans spécialité,0,4
173,1007,Toulouse,Ecole Maternelle Publique Merly (0310217t),E,Enseignant classepréélémentaire,Sans spécialité,0,2
174,1008,Toulouse,Ecole Maternelle Publique Marie Et Pierre Curie(0310218u),E,Enseignant classepréélémentaire,Sans spécialité,1,4
175,1009,Toulouse,Ecole Maternelle Publique Negreneys(0310219v),E,Enseignant classepréélémentaire,Sans spécialité,0,5
176,1010,Toulouse,Ecole Maternelle Publique Petit Gragnague(0310220w),E,Enseignant classepréélémentaire,Sans spécialité,0,2
177,1011,Toulouse,Ecole Maternelle Publique Alfred De Musset(0310221x),E,Enseignant classepréélémentaire,Sans spécialité,0,5
178,1012,Toulouse,Ecole Maternelle Publique Bonnefoy (0310225b) E,E,Enseignant classepréélémentaire,Sans spécialité,0,3
179,1013,Toulouse,Ecole Maternelle Publique Cuvier (0310226c),E,Enseignant classepréélémentaire,Sans spécialité,0,7
180,1014,Toulouse,Ecole Maternelle Publique Ernest Renan(0310227d),E,Enseignant classepréélémentaire,Sans spécialité,0,8
181,1015,Toulouse,Ecole Maternelle Publique Jolimont (0310228e),E,Enseignant classepréélémentaire,Sans spécialité,0,4
182,1016,Toulouse,Ecole Maternelle Publique La Juncasse(0310229f),E,Enseignant classepréélémentaire,Sans spécialité,1,3
183,1017,Toulouse,Ecole Maternelle Publique Lakanal (0310230g),E,Enseignant classepréélémentaire,Sans spécialité,0,2
184,1018,Toulouse,Ecole Maternelle Publique Michelet (0310231h),E,Enseignant classepréélémentaire,Sans spécialité,0,2
185,1019,Toulouse,Ecole Maternelle Publique Marengo-Periole(0310234l),E,Enseignant classepréélémentaire,Sans spécialité,0,4
186,1020,Toulouse,Ecole Maternelle Publique Sarrat (0310235m),E,Enseignant classepréélémentaire,Sans spécialité,1,3
187,1021,Toulouse,Ecole Maternelle Publique Soupetard(0310236n),E,Enseignant classepréélémentaire,Sans spécialité,0,9
188,1022,Toulouse,Ecole Maternelle Publique Lardenne (0310237p) E,E,Enseignant classepréélémentaire,Sans spécialité,0,4
189,1023,Toulouse,Ecole Maternelle Publique Moliere (0310239s),E,Enseignant classepréélémentaire,Sans spécialité,0,2
190,1024,Toulouse,Ecole Maternelle Publique Papus (0310240t),E,Enseignant classepréélémentaire,Sans spécialité,0,2
